,code,hwlwmc,spfwfljc,desc
1075,1040113030000000000,针织或钩编台布,纺织产品,包括针织台布、钩编台布
1076,1040113040000000000,针织或钩编相关餐桌用制品,纺织产品,包括针织相关餐桌用制品、钩编相关餐桌用制品
1077,1040113050000000000,针织或钩编窗帘及类似品,纺织产品,包括棉针织或钩编窗帘及类似品、合成纤维针织或钩编窗帘及类似品、其他针织或钩编窗帘及类似品
1078,1040113060000000000,针织袜,纺织产品,包括连裤及紧身裤袜、长统袜及中统袜、短针织袜
1079,1040113070000000000,针织手套,纺织产品,包括棉制针织手套、合成纤维制针织手套、毛针织手套、丝制针织手套
1080,1040114000000000000,围巾、领带、手帕,纺织产品,包括围巾类、领带、手帕
1081,1040114010000000000,围巾类,纺织产品,包括针织围巾、钩编围巾、非针织或钩编围巾类
1082,1040114020000000000,领带,纺织产品,包括针织领带、非针织领带
1083,1040114030000000000,手帕,纺织产品,包括丝制手帕、棉制手帕、化纤制手帕
1084,1040199000000000000,其他纺织产品,纺织产品,指纺织材料制其他织物制品，包括纺织材料絮胎及其制品、纺织材料制标签、徽章及类似品、成匹编带、装饰带及类似品、网眼薄纱，相关网眼织物、图案花边、供技术用途纺织品
1085,1040199010000000000,纺织材料絮胎及其制品,纺织产品,包括纺织材料絮胎制卫生用品、纤维制絮胎及其制品
1086,1040199020000000000,纺织材料制标签、徽章及类似品,纺织产品,指非绣制的纺织材料制标签、徽章及类似品，包括机织标签、徽章及类似品、非机织标签、徽章及类似品
1087,1040199030000000000,成匹编带、装饰带及类似品,纺织产品,包括成匹编带、流苏、绒球、其他成匹装饰带
1088,1040199040000000000,网眼薄纱，相关网眼织物,纺织产品,丝及绢丝制网眼薄纱，相关网眼织物、棉制网眼薄纱，相关网眼织物、化纤制网眼薄纱，相关网眼织物、其他网眼薄纱及网眼织物
1089,1040199050000000000,图案花边,纺织产品,包括机制花边、手工制花边
1090,1040199060000000000,供技术用途纺织品,纺织产品,包括纺织材料包覆橡胶线、橡塑浸涂纺织纱线及类似品、含金属纱线、纺织材料制软管、筛布、滤布、机械用联接物织物、纸纱线机织物
1091,1040199990000000000,其他未列明纺织产品,纺织产品,
1092,1040200000000000000,服装、鞋、帽,服装鞋帽,
1093,1040201000000000000,服装,服装,包括针织服装、梭织服装、皮革服装、毛皮服装及其附件
1094,1040201010000000000,女内衣,服装,包括针织女内衣、胸罩（乳罩）、束腰带及腹带、紧身胸衣、吊裤带及类似品
1095,1040201020000000000,男内衣,服装,包括针织男内衣
1096,1040201030000000000,女睡衣,服装,包括女式针织睡衣裤、女式梭织睡衣裤、棉制女式睡衣裤、化纤制女式睡衣裤、丝制女式睡衣裤、其他女式睡衣裤
1097,1040201040000000000,男睡衣,服装,包括男式针织睡衣裤、男式梭织睡衣裤、棉制男式睡衣裤、化纤制男式睡衣裤、丝制男式睡衣裤、其他男式睡衣裤
1098,1040201050000000000,女浴衣,服装,包括女式针织浴衣及类似服装、女式梭织浴衣及类似服装、棉制女浴衣及类似品、化纤制女浴衣及类似品、丝制女浴衣及类似品、其他女浴衣及类似品
1099,1040201060000000000,男浴衣,服装,包括男式针织浴衣及类似服装、男式梭织浴衣及类似服装、棉制男浴衣及类似品、化纤制男浴衣及类似品、丝制男浴衣及类似品、其他男浴衣及类似品
1100,1040201070000000000,女衬衫,服装,包括针织女衬衫、梭织女衬衫、毛制女衬衫、棉制女衬衫、化纤制女衬衫、丝制女衬衫、其他女衬衫
1101,1040201080000000000,男衬衫,服装,包括毛制男衬衫、棉制男衬衫、化纤制男衬衫、丝制男衬衫（含丝或绢丝50%及以上）、其他男衬衫
1102,1040201090000000000,女Ｔ恤衫,服装,包括各类棉针织Ｔ恤衫、化学纤维针织Ｔ恤衫、丝针织Ｔ恤衫、其他针织Ｔ恤衫
1103,1040201100000000000,男Ｔ恤衫,服装,包括各类棉针织Ｔ恤衫、化学纤维针织Ｔ恤衫、丝针织Ｔ恤衫、其他针织Ｔ恤衫
1104,1040201110000000000,女上衣,服装,包括马甲、背心、坎肩、夹克，包括防风衣
1105,1040201120000000000,男上衣,服装,包括马甲、背心、坎肩、夹克，包括防风衣
1106,1040201130000000000,女裤子,服装,不包括内衣裤（详见104020101、104020102）、睡衣裤（详见104020103、104020104）。
1107,1040201140000000000,男裤子,服装,不包括内衣裤（详见104020101、104020102）、睡衣裤（详见104020103、104020104）。
1108,1040201150000000000,裙子,服装,
1109,1040201160000000000,女大衣、女风衣,服装,包括女式毛大衣。不包括羽绒服（详见104020122）。
1110,1040201170000000000,男大衣、男风衣,服装,包括男式毛大衣。不包括羽绒服（详见104020122）。
1111,1040201180000000000,便服套装,服装,指各种针织和非针织的男女便服套装，包括牛仔套装、休闲服套装、时装套装、中式套装、中山服套装、其他便服套装。不包括西服套装（详见104020119）、运动服装（详见104020123）。
1112,1040201190000000000,西服套装,服装,指各种针织和非针织的男女西服套装，包括套裙。。男西服套装包括上衣、裤子、西服背心（两件套、三件套、四件套），男晚礼服（燕尾服）、男无燕尾套装、夜礼服、西服套装背心，女式非针织西服套装包括上衣、背心、西服裙、裤子（两件套、三件套、四件套）。
1113,1040201200000000000,女毛衣,服装,
1114,1040201210000000000,男毛衣,服装,
1115,1040201220000000000,防寒服,服装,指以羽绒、化纤棉、丝棉、棉花、鸵绒、羊绒絮片、人造毛皮、针织棉等为填充物或内胎制作的各式服装。
1116,1040201230000000000,运动服装,服装,包括田径服、击剑服、跆拳道服、滑雪服及游泳服、舞裙、体操或练功紧身衣、非针织的体操用特种服装等类似服装。不包括戏装（详见104020199）。
1117,1040201240000000000,婴幼儿服装,服装,指以各种服装材料制成的婴儿服装和儿童服装。包括儿童服装、婴儿紧身衣裤、连脚裤、游戏服、小丑服、背心连裤童装外衣、婴儿围涎、分指手套、连指手套、露指手套、紧身衣裤及婴儿连袜鞋、婴儿尿布。
1118,1040201250000000000,特种服装,服装,指有特殊功能或特殊用途的服装，包括迷彩服、航天服、潜水服、阻燃服、均压服、防弹衣、防酸服、防火服、抗油拒水服、焊接防护服、防电弧服等。
1119,1040201990000000000,其他服装,服装,
1120,1040202000000000000,皮革服装,服装,
1121,1040202010000000000,天然皮革服装,服装,"指用猪、牛、羊以及其他动物等天然皮革（包括头层和剖层革）制作的服装,包括天然皮革大衣、天然皮革上衣、天然皮革裤、天然皮革背心、其他天然皮革服装。"
1122,1040202020000000000,非天然皮革服装,服装,"指用人造革、合成革、再生革等非天然皮革制作的服装,包括非天然皮革大衣、非天然皮革上衣、非天然皮革裤、非天然皮革背心、其他非天然皮革服装。"
1123,1040203000000000000,毛皮服装及其附件,服装,
1124,1040203010000000000,毛皮服装,服装,指以各种毛皮为原料生产的服装。包括天然毛皮服装和人造毛皮服装。
1125,1040203020000000000,毛皮服装附件,服装,包括天然毛皮服装附件和人造毛皮服装附件。
1126,1040204000000000000,鞋,鞋,
1127,1040204010000000000,皮革鞋靴,鞋,指以天然皮革（头层、二层）、合成革、人造革和再生皮革作面的鞋靴；包括皮革面普通鞋靴、皮革面旅游（运动）鞋靴、皮革面凉鞋或拖鞋、皮革面劳保专用鞋靴、其他皮革面鞋靴、竞技用运动鞋靴。
1128,1040204020000000000,纺织面鞋,鞋,指以纺织织物作为面料制作的鞋，包括纺织面单鞋、纺织面棉鞋、纺织面凉鞋、纺织面拖鞋、纺织面运动鞋、纺织面其他鞋。
1129,1040204030000000000,胶鞋,鞋,以橡胶为鞋底或鞋帮制成的鞋靴，包括胶面胶鞋、橡胶凉鞋或拖鞋、橡塑防护鞋、其他胶鞋。
1130,1040204040000000000,塑料鞋,鞋,指以合成树脂为主要原料加工成型的鞋，包括全塑凉鞋或拖鞋、其他塑料鞋。
1131,1040204050000000000,木制鞋,鞋,指木制的鞋，包括木屐、其他木制鞋。
1132,1040204060000000000,舞蹈、戏剧用靴鞋,鞋,指舞蹈、戏剧专用的靴鞋，包括皮制舞蹈或戏剧用靴鞋、纺织材料鞋面制舞蹈或戏剧用靴鞋。
1133,1040204070000000000,靴鞋零件、护腿及类似品,鞋,包括靴鞋零件、护腿或裹腿及类似品。
1134,1040204990000000000,其他鞋,鞋,
1135,1040205000000000000,帽子及附件,帽子,
1136,1040205010000000000,帽子,帽子,包括普通帽、有边帽、贝雷帽、制服帽、民族帽、学生帽、学位帽、职业帽、工作帽（厨师帽及类似帽、海员用的防水帽）、运动帽、旅游帽、大礼帽及夜礼帽、兜帽等
1137,1040205020000000000,帽子附件,帽子,包括帽圈、衬、套、帮、骨架、舌及颏带等
1138,1040300000000000000,皮革、毛皮及其制品,皮革毛皮制品,
1139,1040301000000000000,半成品革,皮革毛皮制品,指经脱毛和鞣制等物理、化学加工所得到的已经变性不易腐烂的半成品动物皮。包括牛半成品革、马半成品革、绵羊半成品革、山羊半成品革、猪半成品革、爬行动物半成品革、其他半成品革。
1140,1040302000000000000,成品革和再生革,皮革毛皮制品,
1141,1040302010000000000,成品革,皮革毛皮制品,指经脱毛和鞣制等物理、化学加工所得到的已经变性不易腐烂的动物皮，包括重革、轻革、油鞣革。
1142,1040302020000000000,再生皮革,皮革毛皮制品,指以皮革或皮革纤维为基本成分的再生皮革。
1143,1040303000000000000,箱、包及类似容器,皮革毛皮制品,指用来装东西的各种包.包括衣箱或提箱及类似容器、手提包（袋）或背包、皮革作面类似箱或包容器、塑料作面类似箱或包容器、纺织材料作面类似箱或包容器、其他箱或包及类似容器。不包括高尔夫球包（袋）（详见10604060209）。
1144,1040303010000000000,衣箱、提箱及类似容器,皮革毛皮制品,
1145,1040303020000000000,手提包（袋）、背包,皮革毛皮制品,不包括高尔夫球包（袋）（详见10604060209）。
1146,1040303030000000000,皮革作面类似箱、包容器,皮革毛皮制品,包括再生皮革或漆皮作面的其他类似容器，不包括高尔夫球包（袋）（详见10604060209）。
1147,1040303040000000000,塑料作面类似箱、包容器,皮革毛皮制品,不包括高尔夫球包（袋）（详见10604060209）。
1148,1040303050000000000,纺织材料作面类似箱、包容器,皮革毛皮制品,不包括高尔夫球包（袋）（详见10604060209）。
1149,1040303990000000000,其他箱、包及类似容器,皮革毛皮制品,
1150,1040304000000000000,皮手套及皮革制衣着附件,皮革毛皮制品,包括皮革手套、毛皮手套、皮革制衣着附件，不包括运动专用手套的运动防护用具（详见106040606）。
1151,1040304010000000000,皮革手套,皮革毛皮制品,指皮革及再生皮革制手套，包括日常用皮革制手套、劳保用皮革制手套、其他皮革手套，不包括运动专用手套运动防护用具（详见106040606）。
1152,1040304020000000000,毛皮手套,皮革毛皮制品,包括动物毛皮手套、人造毛皮手套。
1153,1040304030000000000,皮革制衣着附件,皮革毛皮制品,包括皮革腰带、皮领带、皮革制子弹带、其他皮革制衣着附件
1154,1040305000000000000,钱包、座套，相关皮革制品,皮革毛皮制品,
1155,1040305010000000000,钱包及类似物品,皮革毛皮制品,指用各种材料制作的通常置于口袋或手提包内的物品，包括钱包、皮夹、钥匙包及类似物品。
1156,1040305020000000000,皮革制座套,皮革毛皮制品,包括天然皮革、合成革、人造革、再生皮革制沙发座套、汽车座套及类似制品。
1157,1040305030000000000,专门技术用途皮革制品,皮革毛皮制品,指机器等专门技术用途的皮革或再生皮革制品，包括机器任何部位的皮革制传动带或输送带、皮革制输送吊斗、纺织机械用肚档皮带、清棉皮带、精梳皮革、综丝皮条及其他皮革制品、生皮锤等
1158,1040305040000000000,鞍具及挽具,皮革毛皮制品,指各种材料制成适合各种动物用的鞍具及挽具。
